classe,vaisseau,yield_per_minute,yield_per_hour,yield_per_hour_auto,cargo,mining_time,unload_time,speed
Corvette,Starter Shuttle,969.4566,58167.396,15852.5799,309,7,63,191
MiningShip,Mining Skiff,10799.0457,647942.7427,411419.9152,4500,9,30,396
MiningShip,Prospector,4925.4156,295524.936,243401.7067,2250,10,23,333
Barge,Mining Barge,36203.2579,2172195.4729,690437.7185,6750,4,31,250
Barge,Extractor,13810.797,828647.82,448987.0274,3600,6,23,345
Barge,Ironclad,13491.4982,809489.8936,469500.9001,4500,8,27,287
Barge,Titan Drill,41054.8512,2463291.0729,1477264.7841,18000,10,34,231
Barge,Bastion,19925.2503,1195515.0207,647001.7143,6990,8,31,249
Barge,Heavy Mining Barge,30069.9,1804194.0,1054196.4661,9000,7,24,327
IceMiningShip,Glacier King,105945.84,6356750.4,1054116.3206,9679,2,31,248
IceMiningShip,Ice Skimmer,18196.92,1091815.2,279001.8629,1800,2,21,363
IceMiningShip,Frostbreaker,47845.35,2870721.0,800106.8815,6453,3,26,297
GasMiningShip,Vapor Collector,8697.6885,521861.3114,374067.5106,5400,14,38,202
GasMiningShip,Mining Leviathan,13992.7166,839562.9934,494031.0247,8100,13,46,169
GasMiningShip,Nebula Runner,3760.848,225650.88,149292.1371,2151,13,39,305
Hauler,Oremaster,4207.2156,252432.936,615321.4452,113400,606,57,158
