classe,vaisseau,yield_per_minute,yield_per_hour,yield_per_hour_auto,cargo,mining_time,unload_time,speed
Corvette,Starter Shuttle,1108.0889,66485.3336,13199.7511,309,6,78,154
MiningShip,Mining Skiff,13257.376,795442.5612,313726.961,4500,8,44,270
MiningShip,Prospector,6415.1673,384910.0366,156095.066,2250,8,44,270
Barge,Mining Barge,44073.168,2644390.0791,389136.3744,6750,3,59,202
Barge,Extractor,21579.0668,1294744.0067,206521.892,3600,4,59,202
Barge,Ironclad,20047.1147,1202826.8826,213016.0649,4500,5,71,169
Barge,Titan Drill,56470.5611,3388233.6653,779109.4924,18000,7,76,158
Barge,Bastion,30141.0396,1808462.376,243843.2207,5850,4,82,146
Barge,Heavy Mining Barge,49826.7942,2989607.6549,431631.2233,9000,4,71,169
IceMiningShip,Glacier King,165538.0465,9932282.7912,404432.9212,8100,1,71,169
IceMiningShip,Ice Skimmer,29490.552,1769433.12,131244.9688,1800,1,48,248
IceMiningShip,Frostbreaker,74960.9816,4497658.893,320681.7814,5400,2,59,202
GasMiningShip,Vapor Collector,9536.0199,572161.1969,270974.1346,5400,13,59,202
GasMiningShip,Mining Leviathan,15299.7285,917983.7125,351698.2876,8100,12,71,169
GasMiningShip,Nebula Runner,4836.4505,290187.0317,114946.7907,1800,8,48,248
Hauler,Oremaster,4207.2156,252432.936,615321.4452,113400,606,57,158
