classe,vaisseau,yield_per_minute,yield_per_hour,yield_per_hour_auto,cargo,mining_time,unload_time,speed
Corvette,Starter Shuttle,872.5109,52350.6564,15674.586,309,8,63,191
MiningShip,Mining Skiff,9719.1411,583148.4684,400815.6136,4500,10,30,396
MiningShip,Prospector,4432.874,265972.4424,235325.863,2250,11,23,333
Barge,Mining Barge,32582.9321,1954975.9256,681413.1823,6750,5,31,250
Barge,Extractor,12429.7173,745783.038,439074.3577,3600,7,23,345
Barge,Ironclad,12142.3484,728540.9042,458422.4343,4500,8,27,287
Barge,Titan Drill,36949.3661,2216961.9656,1441250.8192,18000,11,34,231
Barge,Bastion,17932.7253,1075963.5186,632733.8098,6990,9,31,249
Barge,Heavy Mining Barge,30347.689,1820861.3392,962204.7676,9000,7,27,287
IceMiningShip,Glacier King,12076.381,724582.8626,549241.0657,8100,15,38,208
IceMiningShip,Ice Skimmer,3384.7632,203085.792,145287.0176,2151,14,39,305
IceMiningShip,Frostbreaker,6777.6311,406657.8659,442556.2705,5400,18,26,297
GasMiningShip,Vapor Collector,37413.495,2244809.7,777450.3101,6453,4,26,297
GasMiningShip,Mining Leviathan,83793.528,5027611.68,1037067.2716,9679,3,31,248
GasMiningShip,Nebula Runner,16188.984,971339.04,275724.7212,1800,3,21,363
Hauler,Oremaster,3786.494,227189.6424,558588.3279,113400,674,57,158
