classe,vaisseau,yield_per_minute,yield_per_hour,yield_per_hour_auto,cargo,mining_time,unload_time,speed
Corvette,Starter Shuttle,997.28,59836.8003,13091.4541,309,7,78,154
MiningShip,Mining Skiff,11931.6384,715898.3051,308654.6646,4500,8,44,270
MiningShip,Prospector,5773.6505,346419.0329,153501.3002,2250,9,44,270
Barge,Mining Barge,39665.8512,2379951.0712,386764.9343,6750,4,59,202
Barge,Extractor,19421.1601,1165269.606,205158.3761,3600,4,59,202
Barge,Ironclad,18042.4032,1082544.1943,211455.7314,4500,6,71,169
Barge,Titan Drill,50823.505,3049410.2987,771715.6328,18000,8,76,158
Barge,Bastion,27126.9356,1627616.1384,242480.937,5850,5,82,146
Barge,Heavy Mining Barge,44844.1148,2690646.8894,429050.1787,9000,5,71,169
IceMiningShip,Glacier King,14672.6905,880361.4292,349552.1249,8100,12,71,169
IceMiningShip,Ice Skimmer,4352.8055,261168.3285,113080.4322,1800,9,48,248
IceMiningShip,Frostbreaker,9290.2462,557414.7743,269706.9467,5400,13,59,202
GasMiningShip,Vapor Collector,58617.0298,3517021.7901,318308.7641,5400,2,59,202
GasMiningShip,Mining Leviathan,130925.5459,7855532.753,402806.8703,8100,1,71,169
GasMiningShip,Nebula Runner,26541.4968,1592489.808,130840.598,1800,2,48,248
Hauler,Oremaster,3786.494,227189.6424,558588.3279,113400,674,57,158
