classe,vaisseau,yield_per_minute,yield_per_hour,yield_per_hour_auto,cargo,mining_time,unload_time,speed
Corvette,Starter Shuttle,158.2984,9497.9048,9123.9998,309,44,78,154
MiningShip,Mining Skiff,4418.4722,265108.3344,306150.447,4500,23,30,396
MiningShip,Prospector,2667.9334,160076.007,147338.7327,2250,19,36,333
Barge,Mining Barge,9276.2427,556574.5629,512956.1601,6750,16,31,250
Barge,Extractor,5900.895,354053.7,352876.4893,3600,14,23,345
Barge,Ironclad,4191.4639,251487.832,316676.9203,4500,24,27,287
Barge,Titan Drill,17656.3496,1059380.9775,1138081.5425,18000,23,34,231
Barge,Bastion,7502.5562,450153.369,433833.0389,5850,18,31,249
Barge,Heavy Mining Barge,11346.0467,680762.799,722446.2633,9000,18,27,287
IceMiningShip,Glacier King,3850.4548,231027.2874,312432.7966,8100,47,46,169
IceMiningShip,Ice Skimmer,1460.3425,87620.5512,97103.0624,1800,28,39,305
IceMiningShip,Frostbreaker,2690.0068,161400.4056,233746.0726,5400,45,38,202
GasMiningShip,Vapor Collector,2690.0068,161400.4056,233746.0726,5400,45,38,202
GasMiningShip,Mining Leviathan,3850.4548,231027.2874,312432.7966,8100,47,46,169
GasMiningShip,Nebula Runner,1460.3425,87620.5512,97103.0624,1800,28,39,305
Hauler,Oremaster,601.0308,36061.848,94890.8375,113400,4245,57,158
