classe,vaisseau,yield_per_minute,yield_per_hour,yield_per_hour_auto,cargo,mining_time,unload_time,speed
Corvette,Starter Shuttle,158.2984,9497.9048,9123.9998,309,44,78,154
MiningShip,Mining Skiff,4965.1177,297907.0596,251583.0085,4500,20,44,270
MiningShip,Prospector,2737.8297,164269.782,129618.8234,2250,18,44,270
Barge,Mining Barge,11572.0063,694320.3765,336918.1388,6750,13,59,202
Barge,Extractor,9220.0187,553201.1249,191192.0885,3600,9,59,202
Barge,Ironclad,6228.1265,373687.587,185658.6798,4500,16,71,169
Barge,Titan Drill,24574.9596,1474497.5738,700690.6028,18000,16,76,158
Barge,Bastion,10621.1282,637267.6944,223110.3525,5850,12,82,146
Barge,Heavy Mining Barge,16765.8044,1005948.2664,389994.2126,9000,12,71,169
IceMiningShip,Glacier King,4210.1127,252606.7593,255143.4954,8100,43,71,169
IceMiningShip,Ice Skimmer,1643.045,98582.7024,89195.5617,1800,25,48,248
IceMiningShip,Frostbreaker,2949.2845,176957.0712,194018.8843,5400,41,59,202
GasMiningShip,Vapor Collector,2949.2845,176957.0712,194018.8843,5400,41,59,202
GasMiningShip,Mining Leviathan,4210.1127,252606.7593,255143.4954,8100,43,71,169
GasMiningShip,Nebula Runner,1643.045,98582.7024,89195.5617,1800,25,48,248
Hauler,Oremaster,601.0308,36061.848,94890.8375,113400,4245,57,158
