classe,vaisseau,yield_per_minute,yield_per_hour,yield_per_hour_auto,cargo,mining_time,unload_time,speed
Corvette,Starter Shuttle,24.15,1449.0,1449.0,150,373,98,123
MiningShip,Mining Skiff,167.8064,10068.3863,10068.3863,1575,563,65,185
MiningShip,Prospector,68.7627,4125.7619,4125.7619,757,661,52,150
Barge,Mining Barge,690.6855,41441.1273,41441.1273,2520,219,63,124
Barge,Extractor,241.209,14472.5407,14472.5407,1320,328,46,168
Barge,Ironclad,242.3883,14543.296,14543.296,1650,408,56,140
Barge,Titan Drill,1768.644,106118.6371,106118.6371,8100,275,56,139
Barge,Bastion,443.9232,26635.3919,26635.3919,3024,409,60,131
Barge,Heavy Mining Barge,932.0688,55924.128,55924.128,3900,251,41,189
IceMiningShip,Glacier King,5638.7968,338327.808,338327.808,3655,39,69,113
IceMiningShip,Ice Skimmer,636.0411,38162.467,38162.467,606,57,48,163
IceMiningShip,Frostbreaker,1879.146,112748.76,112748.76,2413,77,58,135
GasMiningShip,Vapor Collector,142.2842,8537.0532,8537.0532,1836,774,84,92
GasMiningShip,Mining Leviathan,231.1177,13867.0648,13867.0648,2781,722,101,77
GasMiningShip,Nebula Runner,56.0409,3362.4564,3362.4564,796,852,88,137
Hauler,Oremaster,58.0948,3485.6868,3485.6868,46078,47589,112,80
