classe,vaisseau,yield_per_minute,yield_per_hour,yield_per_hour_auto,cargo,mining_time,unload_time,speed
Corvette,Starter Shuttle,34.4258,2065.5495,2065.5495,150,261,120,100
MiningShip,Mining Skiff,208.2635,12495.8122,12495.8122,1575,454,95,126
MiningShip,Prospector,93.1082,5586.4947,5586.4947,757,488,99,121
Barge,Mining Barge,858.4759,51508.5557,51508.5557,2520,176,119,101
Barge,Extractor,415.6096,24936.5748,24936.5748,1320,191,121,99
Barge,Ironclad,366.2488,21974.9258,21974.9258,1650,270,146,82
Barge,Titan Drill,2485.576,149134.5628,149134.5628,8100,196,128,94
Barge,Bastion,691.1868,41471.2054,41471.2054,2301,200,156,77
Barge,Heavy Mining Barge,1559.9678,93598.0666,93598.0666,3900,150,122,98
IceMiningShip,Glacier King,11173.1674,670390.0452,670390.0452,2781,15,156,77
IceMiningShip,Ice Skimmer,1236.3788,74182.7269,74182.7269,606,29,108,111
IceMiningShip,Frostbreaker,3773.7337,226424.0207,226424.0207,1836,29,130,92
GasMiningShip,Vapor Collector,160.843,9650.5819,9650.5819,1836,685,130,92
GasMiningShip,Mining Leviathan,257.7852,15467.1108,15467.1108,2781,647,156,77
GasMiningShip,Nebula Runner,83.0755,4984.5303,4984.5303,606,438,108,111
Hauler,Oremaster,58.0948,3485.6868,3485.6868,46078,47589,112,80
