classe,vaisseau,yield_per_minute,yield_per_hour,yield_per_hour_auto,cargo,mining_time,unload_time,speed
Corvette,Starter Shuttle,30.9832,1858.9945,1858.9945,150,290,120,100
MiningShip,Mining Skiff,187.4372,11246.231,11246.231,1575,504,95,126
MiningShip,Prospector,83.7974,5027.8452,5027.8452,757,542,99,121
Barge,Mining Barge,772.6283,46357.7001,46357.7001,2520,196,119,101
Barge,Extractor,374.0486,22442.9173,22442.9173,1320,212,121,99
Barge,Ironclad,329.6239,19777.4332,19777.4332,1650,300,146,82
Barge,Titan Drill,2237.0184,134221.1066,134221.1066,8100,217,128,94
Barge,Bastion,622.0681,37324.0848,37324.0848,2301,222,156,77
Barge,Heavy Mining Barge,1403.971,84238.2599,84238.2599,3900,167,122,98
IceMiningShip,Glacier King,264.0998,15845.9881,15845.9881,2781,632,156,77
IceMiningShip,Ice Skimmer,79.8534,4791.2032,4791.2032,606,455,108,111
IceMiningShip,Frostbreaker,169.182,10150.9196,10150.9196,1836,651,130,92
GasMiningShip,Vapor Collector,2219.7186,133183.1178,133183.1178,1836,50,130,92
GasMiningShip,Mining Leviathan,6001.4173,360085.036,360085.036,2781,28,156,77
GasMiningShip,Nebula Runner,1011.0323,60661.9361,60661.9361,606,36,108,111
Hauler,Oremaster,52.2853,3137.1181,3137.1181,46078,52877,112,80
