classe,vaisseau,yield_per_minute,yield_per_hour,yield_per_hour_auto,cargo,mining_time,unload_time,speed
Corvette,Starter Shuttle,34.4258,2065.5495,2065.5495,150,261,120,100
MiningShip,Mining Skiff,496.5701,29794.2044,29794.2044,1575,190,65,185
MiningShip,Prospector,288.894,17333.6424,17333.6424,757,157,80,150
Barge,Mining Barge,1281.8872,76913.234,76913.234,2520,118,63,124
Barge,Extractor,744.401,44664.0609,44664.0609,1320,106,46,168
Barge,Ironclad,546.6648,32799.8858,32799.8858,1650,181,56,140
Barge,Titan Drill,6031.1499,361868.9925,361868.9925,8100,81,56,139
Barge,Bastion,1211.0218,72661.3087,72661.3087,2301,114,60,131
Barge,Heavy Mining Barge,2543.5418,152612.5064,152612.5064,3900,92,47,166
IceMiningShip,Glacier King,417.1109,25026.6552,25026.6552,2781,400,101,77
IceMiningShip,Ice Skimmer,157.5956,9455.7349,9455.7349,606,231,88,137
IceMiningShip,Frostbreaker,281.9428,16916.5685,16916.5685,1836,391,84,92
GasMiningShip,Vapor Collector,281.9428,16916.5685,16916.5685,1836,391,84,92
GasMiningShip,Mining Leviathan,417.1109,25026.6552,25026.6552,2781,400,101,77
GasMiningShip,Nebula Runner,157.5956,9455.7349,9455.7349,606,231,88,137
Hauler,Oremaster,58.0948,3485.6868,3485.6868,46078,47589,112,80
