classe,vaisseau,yield_per_minute,yield_per_hour,yield_per_hour_auto,cargo,mining_time,unload_time,speed
Corvette,Starter Shuttle,34.4258,2065.5495,2065.5495,150,261,120,100
MiningShip,Mining Skiff,565.2867,33917.2045,33917.2045,1575,167,95,126
MiningShip,Prospector,287.0233,17221.3991,17221.3991,757,158,99,121
Barge,Mining Barge,1633.5305,98011.8278,98011.8278,2520,93,119,101
Barge,Extractor,1282.6229,76957.3719,76957.3719,1320,62,121,99
Barge,Ironclad,826.0107,49560.6397,49560.6397,1650,120,146,82
Barge,Titan Drill,8560.8633,513651.7952,513651.7952,8100,57,128,94
Barge,Bastion,1766.86,106011.6022,106011.6022,2301,78,156,77
Barge,Heavy Mining Barge,3809.5136,228570.8181,228570.8181,3900,61,122,98
IceMiningShip,Glacier King,465.2391,27914.3461,27914.3461,2781,359,156,77
IceMiningShip,Ice Skimmer,176.9979,10619.8749,10619.8749,606,205,108,111
IceMiningShip,Frostbreaker,318.718,19123.0774,19123.0774,1836,346,130,92
GasMiningShip,Vapor Collector,318.718,19123.0774,19123.0774,1836,346,130,92
GasMiningShip,Mining Leviathan,465.2391,27914.3461,27914.3461,2781,359,156,77
GasMiningShip,Nebula Runner,176.9979,10619.8749,10619.8749,606,205,108,111
Hauler,Oremaster,58.0948,3485.6868,3485.6868,46078,47589,112,80
