classe,vaisseau,yield_per_minute,yield_per_hour,yield_per_hour_auto,cargo,mining_time,unload_time,speed
Corvette,Starter Shuttle,700.812,42048.72,10212.9408,206,7,66,182
MiningShip,Mining Skiff,6082.776,364966.56,358840.8595,3000,11,19,416
MiningShip,Prospector,3587.409,215244.54,156940.6837,1500,9,25,319
Barge,Mining Barge,22244.4533,1334667.1968,482836.9857,4500,5,29,275
Barge,Extractor,10247.7375,614864.25,285436.2514,2400,5,25,312
Barge,Ironclad,9741.249,584474.94,292450.7397,3000,7,30,260
Barge,Titan Drill,25316.55,1518993.0,1029323.6166,13800,12,36,214
Barge,Bastion,15471.4568,928287.4104,353904.3623,3900,6,34,225
Barge,Heavy Mining Barge,20908.1658,1254489.9494,645608.5225,6000,6,27,290
IceMiningShip,Glacier King,74088.0,4445280.0,622973.9111,6210,2,34,229
IceMiningShip,Ice Skimmer,12859.56,771573.6,172114.2605,1200,2,23,337
IceMiningShip,Frostbreaker,34062.525,2043751.5,473373.1285,3600,2,25,312
GasMiningShip,Vapor Collector,5416.3242,324979.452,276010.1694,3600,15,32,239
GasMiningShip,Mining Leviathan,9237.8475,554270.85,328642.5439,5400,13,46,169
GasMiningShip,Nebula Runner,2268.0,136080.0,111040.3917,1200,12,27,337
Hauler,Oremaster,3102.246,186134.76,447512.0342,72000,522,57,158
