classe,vaisseau,yield_per_minute,yield_per_hour,yield_per_hour_auto,cargo,mining_time,unload_time,speed
Corvette,Starter Shuttle,777.9013,46674.0792,8832.9522,206,6,78,154
MiningShip,Mining Skiff,8739.297,524357.82,208801.6331,3000,8,44,270
MiningShip,Prospector,4600.071,276004.26,105187.6129,1500,7,44,270
Barge,Mining Barge,28505.358,1710321.48,258984.6747,4500,4,59,202
Barge,Extractor,14641.9673,878518.0404,137825.3574,2400,4,59,202
Barge,Ironclad,11633.236,697994.1612,140620.714,3000,6,71,169
Barge,Titan Drill,36322.965,2179377.9,517778.7863,12000,7,76,158
Barge,Bastion,19422.585,1165355.1,162278.4895,3900,5,82,146
Barge,Heavy Mining Barge,31849.2518,1910955.1104,287086.231,6000,4,71,169
IceMiningShip,Glacier King,105856.9344,6351416.064,269446.9768,5400,1,71,169
IceMiningShip,Ice Skimmer,19368.72,1162123.2,87460.015,1200,1,48,248
IceMiningShip,Frostbreaker,48938.5969,2936315.8125,213666.9869,3600,2,59,202
GasMiningShip,Vapor Collector,6378.5138,382710.825,180755.954,3600,13,59,202
GasMiningShip,Mining Leviathan,9924.0876,595445.256,233533.3208,5400,12,71,169
GasMiningShip,Nebula Runner,3228.12,193687.2,76644.665,1200,8,48,248
Hauler,Oremaster,3102.246,186134.76,447512.0342,72000,522,57,158
