classe,vaisseau,yield_per_minute,yield_per_hour,yield_per_hour_auto,cargo,mining_time,unload_time,speed
Corvette,Starter Shuttle,630.7308,37843.848,10110.6199,206,7,66,182
MiningShip,Mining Skiff,6184.1556,371049.336,300710.0888,3000,11,25,319
MiningShip,Prospector,3228.6681,193720.086,152313.3572,1500,10,25,319
Barge,Mining Barge,21886.9303,1313215.8178,442308.1573,4500,5,32,239
Barge,Extractor,9222.9637,553377.825,280019.8913,2400,6,25,312
Barge,Ironclad,8767.1241,526027.446,286478.0906,3000,8,30,260
Barge,Titan Drill,25291.2334,1517474.007,925536.3994,12000,11,36,214
Barge,Bastion,13924.3112,835458.6694,348370.4343,3900,6,34,225
Barge,Heavy Mining Barge,18817.3492,1129040.9545,632055.1981,6000,7,27,290
IceMiningShip,Glacier King,8134.8624,488091.744,360429.0663,5400,15,39,199
IceMiningShip,Ice Skimmer,2245.32,134719.2,89953.1269,1200,12,36,337
IceMiningShip,Frostbreaker,4802.219,288133.1384,282554.8385,3600,17,29,275
GasMiningShip,Vapor Collector,26522.8425,1591370.55,468388.2066,4680,4,32,239
GasMiningShip,Mining Leviathan,58344.3,3500658.0,614262.9772,6210,2,34,229
GasMiningShip,Nebula Runner,11389.896,683393.76,170276.354,1200,2,23,337
Hauler,Oremaster,2792.0214,167521.284,406763.843,72000,580,57,158
