classe,vaisseau,yield_per_minute,yield_per_hour,yield_per_hour_auto,cargo,mining_time,unload_time,speed
Corvette,Starter Shuttle,700.1112,42006.6713,8763.8466,206,7,78,154
MiningShip,Mining Skiff,7865.3673,471922.038,205393.7698,3000,9,44,270
MiningShip,Prospector,4140.0639,248403.834,103543.3928,1500,8,44,270
Barge,Mining Barge,25654.8222,1539289.332,257360.8931,4500,4,59,202
Barge,Extractor,13177.7706,790666.2364,136930.2675,2400,4,59,202
Barge,Ironclad,10469.9124,628194.7451,139450.123,3000,6,71,169
Barge,Titan Drill,32690.6685,1961440.11,512703.4282,12000,8,76,158
Barge,Bastion,17480.3265,1048819.59,161342.3516,3900,5,82,146
Barge,Heavy Mining Barge,28664.3267,1719859.5994,285300.3482,6000,5,71,169
IceMiningShip,Glacier King,9527.1241,571627.4458,232110.918,5400,13,71,169
IceMiningShip,Ice Skimmer,2905.308,174318.48,75401.4409,1200,9,48,248
IceMiningShip,Frostbreaker,6215.7517,372945.1005,179921.5127,3600,13,59,202
GasMiningShip,Vapor Collector,38106.1209,2286367.2563,212022.3104,3600,2,59,202
GasMiningShip,Mining Leviathan,83362.3358,5001740.1504,268295.2344,5400,1,71,169
GasMiningShip,Nebula Runner,17431.848,1045910.88,87186.6166,1200,2,48,248
Hauler,Oremaster,2792.0214,167521.284,406763.843,72000,580,57,158
