classe,vaisseau,yield_per_minute,yield_per_hour,yield_per_hour_auto,cargo,mining_time,unload_time,speed
Corvette,Starter Shuttle,111.1288,6667.7256,6195.0553,206,42,78,154
MiningShip,Mining Skiff,2668.14,160088.4,214718.0364,3000,25,25,319
MiningShip,Prospector,1483.515,89010.9,113088.9514,1500,23,25,319
Barge,Mining Barge,6223.6836,373421.016,335622.6073,4500,16,32,239
Barge,Extractor,4374.5625,262473.75,231361.9007,2400,12,25,312
Barge,Ironclad,2902.095,174125.7,202782.4021,3000,23,30,260
Barge,Titan Drill,11902.5855,714155.13,736144.2938,12000,23,36,214
Barge,Bastion,4975.587,298535.22,271902.7437,3900,18,34,225
Barge,Heavy Mining Barge,7142.5411,428552.4672,470579.662,6000,19,27,290
IceMiningShip,Glacier King,2492.7525,149565.15,205190.3424,5400,49,46,169
IceMiningShip,Ice Skimmer,979.02,58741.2,62993.4129,1200,28,41,292
IceMiningShip,Frostbreaker,1774.3131,106458.786,154928.5399,3600,46,38,202
GasMiningShip,Vapor Collector,1774.3131,106458.786,154928.5399,3600,46,38,202
GasMiningShip,Mining Leviathan,2492.7525,149565.15,205190.3424,5400,49,46,169
GasMiningShip,Nebula Runner,979.02,58741.2,62993.4129,1200,28,41,292
Hauler,Oremaster,443.178,26590.68,69819.7595,72000,3655,57,158
