classe,vaisseau,yield_per_minute,yield_per_hour,yield_per_hour_auto,cargo,mining_time,unload_time,speed
Corvette,Starter Shuttle,111.1288,6667.7256,6195.0553,206,42,78,154
MiningShip,Mining Skiff,3393.495,203609.7,169037.8997,3000,20,44,270
MiningShip,Prospector,1902.285,114137.1,87460.9772,1500,18,44,270
Barge,Mining Barge,7433.37,446002.2,223075.942,4500,14,59,202
Barge,Extractor,6250.3749,375022.494,127736.0467,2400,9,59,202
Barge,Ironclad,3741.2235,224473.41,121290.7682,3000,18,71,169
Barge,Titan Drill,15531.075,931864.5,462603.5285,12000,17,76,158
Barge,Bastion,6591.375,395482.5,147304.374,3900,13,82,146
Barge,Heavy Mining Barge,10880.1792,652810.752,258968.3253,6000,12,71,169
IceMiningShip,Glacier King,2677.9284,160675.704,167052.0839,5400,45,71,169
IceMiningShip,Ice Skimmer,1076.04,64562.4,59103.5922,1200,25,48,248
IceMiningShip,Frostbreaker,1916.6963,115001.775,127987.0846,3600,42,59,202
GasMiningShip,Vapor Collector,1916.6963,115001.775,127987.0846,3600,42,59,202
GasMiningShip,Mining Leviathan,2677.9284,160675.704,167052.0839,5400,45,71,169
GasMiningShip,Nebula Runner,1076.04,64562.4,59103.5922,1200,25,48,248
Hauler,Oremaster,443.178,26590.68,69819.7595,72000,3655,57,158
