classe,vaisseau,yield_per_minute,yield_per_hour,yield_per_hour_auto,cargo,mining_time,unload_time,speed
Corvette,Starter Shuttle,16.8,1008.0,1008.0,100,357,102,118
MiningShip,Mining Skiff,78.9482,4736.8904,4736.8904,1050,798,40,194
MiningShip,Prospector,50.1068,3006.4084,3006.4084,505,605,55,143
Barge,Mining Barge,416.2188,24973.1282,24973.1282,1680,242,57,137
Barge,Extractor,176.1043,10566.2573,10566.2573,880,300,51,152
Barge,Ironclad,175.0399,10502.3911,10502.3911,1100,377,61,127
Barge,Titan Drill,1064.4382,63866.2928,63866.2928,6831,385,60,129
Barge,Bastion,341.9151,20514.9087,20514.9087,1534,269,66,118
Barge,Heavy Mining Barge,617.0184,37021.1011,37021.1011,2600,253,46,168
IceMiningShip,Glacier King,3868.5653,232113.918,232113.918,2345,36,74,105
IceMiningShip,Ice Skimmer,447.4339,26846.0366,26846.0366,404,54,51,151
IceMiningShip,Frostbreaker,1329.6165,79776.9907,79776.9907,1224,55,55,141
GasMiningShip,Vapor Collector,88.0379,5282.2748,5282.2748,1224,834,72,108
GasMiningShip,Mining Leviathan,149.7058,8982.3463,8982.3463,1854,743,101,77
GasMiningShip,Nebula Runner,31.415,1884.9024,1884.9024,404,772,59,151
Hauler,Oremaster,42.9548,2577.288,2577.288,29255,40864,112,80
