classe,vaisseau,yield_per_minute,yield_per_hour,yield_per_hour_auto,cargo,mining_time,unload_time,speed
Corvette,Starter Shuttle,23.268,1396.08,1396.08,100,258,120,100
MiningShip,Mining Skiff,132.8628,7971.7683,7971.7683,1050,474,95,126
MiningShip,Prospector,67.6388,4058.3258,4058.3258,505,448,99,121
Barge,Mining Barge,545.0064,32700.384,32700.384,1680,185,119,101
Barge,Extractor,276.1021,16566.1285,16566.1285,880,191,121,99
Barge,Ironclad,204.369,12262.1423,12262.1423,1100,323,146,82
Barge,Titan Drill,1561.4761,93688.5675,93688.5675,5400,207,128,94
Barge,Bastion,423.0347,25382.0837,25382.0837,1534,218,156,77
Barge,Heavy Mining Barge,976.6301,58597.8036,58597.8036,2600,160,122,98
IceMiningShip,Glacier King,6975.0547,418503.2812,418503.2812,1854,16,156,77
IceMiningShip,Ice Skimmer,797.6162,47856.9738,47856.9738,404,30,108,111
IceMiningShip,Frostbreaker,2416.6374,144998.2421,144998.2421,1224,30,130,92
GasMiningShip,Vapor Collector,105.2716,6316.2962,6316.2962,1224,698,130,92
GasMiningShip,Mining Leviathan,163.0941,9785.6456,9785.6456,1854,682,156,77
GasMiningShip,Nebula Runner,54.3829,3262.9755,3262.9755,404,446,108,111
Hauler,Oremaster,42.9548,2577.288,2577.288,29255,40864,112,80
