classe,vaisseau,yield_per_minute,yield_per_hour,yield_per_hour_auto,cargo,mining_time,unload_time,speed
Corvette,Starter Shuttle,15.12,907.2,907.2,100,397,102,118
MiningShip,Mining Skiff,89.2866,5357.1974,5357.1974,1050,706,53,149
MiningShip,Prospector,45.0961,2705.7676,2705.7676,505,672,55,143
Barge,Mining Barge,408.7522,24525.1324,24525.1324,1680,247,66,119
Barge,Extractor,158.4939,9509.6316,9509.6316,880,333,51,152
Barge,Ironclad,157.5359,9452.152,9452.152,1100,419,61,127
Barge,Titan Drill,1061.4578,63687.4671,63687.4671,5400,305,60,129
Barge,Bastion,307.7236,18463.4178,18463.4178,1534,299,66,118
Barge,Heavy Mining Barge,555.3165,33318.991,33318.991,2600,281,46,168
IceMiningShip,Glacier King,140.9234,8455.4033,8455.4033,1854,789,86,91
IceMiningShip,Ice Skimmer,33.834,2030.0399,2030.0399,404,716,79,151
IceMiningShip,Frostbreaker,84.2952,5057.7119,5057.7119,1224,871,62,125
GasMiningShip,Vapor Collector,778.8312,46729.872,46729.872,1750,135,72,108
GasMiningShip,Mining Leviathan,2068.797,124127.8214,124127.8214,2345,68,74,105
GasMiningShip,Nebula Runner,360.6447,21638.6796,21638.6796,404,67,51,151
Hauler,Oremaster,38.6593,2319.5592,2319.5592,29255,45404,112,80
