classe,vaisseau,yield_per_minute,yield_per_hour,yield_per_hour_auto,cargo,mining_time,unload_time,speed
Corvette,Starter Shuttle,20.9412,1256.472,1256.472,100,287,120,100
MiningShip,Mining Skiff,119.5765,7174.5914,7174.5914,1050,527,95,126
MiningShip,Prospector,60.8749,3652.4932,3652.4932,505,498,99,121
Barge,Mining Barge,490.5058,29430.3456,29430.3456,1680,206,119,101
Barge,Extractor,248.4919,14909.5157,14909.5157,880,212,121,99
Barge,Ironclad,183.9321,11035.9281,11035.9281,1100,359,146,82
Barge,Titan Drill,1405.3285,84319.7108,84319.7108,5400,231,128,94
Barge,Bastion,380.7313,22843.8754,22843.8754,1534,242,156,77
Barge,Heavy Mining Barge,878.9671,52738.0233,52738.0233,2600,177,122,98
IceMiningShip,Glacier King,167.1619,10029.7111,10029.7111,1854,665,156,77
IceMiningShip,Ice Skimmer,52.2076,3132.4565,3132.4565,404,464,108,111
IceMiningShip,Frostbreaker,110.6211,6637.2687,6637.2687,1224,664,130,92
GasMiningShip,Vapor Collector,1415.5605,84933.6285,84933.6285,1224,52,130,92
GasMiningShip,Mining Leviathan,3730.0579,223803.4712,223803.4712,1854,30,156,77
GasMiningShip,Nebula Runner,652.5951,39155.7059,39155.7059,404,37,108,111
Hauler,Oremaster,38.6593,2319.5592,2319.5592,29255,45404,112,80
