classe,vaisseau,yield_per_minute,yield_per_hour,yield_per_hour_auto,cargo,mining_time,unload_time,speed
Corvette,Starter Shuttle,23.268,1396.08,1396.08,100,258,120,100
MiningShip,Mining Skiff,278.9808,16738.848,16738.848,1050,226,53,149
MiningShip,Prospector,149.8168,8989.0101,8989.0101,505,202,55,143
Barge,Mining Barge,841.8919,50513.5134,50513.5134,1680,120,66,119
Barge,Extractor,543.0048,32580.286,32580.286,880,97,51,152
Barge,Ironclad,378.5108,22710.65,22710.65,1100,174,61,127
Barge,Titan Drill,3970.0847,238205.0805,238205.0805,5400,82,60,129
Barge,Bastion,798.221,47893.2611,47893.2611,1534,115,66,118
Barge,Heavy Mining Barge,1529.5833,91774.9984,91774.9984,2600,102,46,168
IceMiningShip,Glacier King,265.6544,15939.2616,15939.2616,1854,419,101,77
IceMiningShip,Ice Skimmer,103.9234,6235.4019,6235.4019,404,233,92,131
IceMiningShip,Frostbreaker,185.4749,11128.4954,11128.4954,1224,396,84,92
GasMiningShip,Vapor Collector,185.4749,11128.4954,11128.4954,1224,396,84,92
GasMiningShip,Mining Leviathan,265.6544,15939.2616,15939.2616,1854,419,101,77
GasMiningShip,Nebula Runner,103.9234,6235.4019,6235.4019,404,233,92,131
Hauler,Oremaster,42.9548,2577.288,2577.288,29255,40864,112,80
