classe,vaisseau,yield_per_minute,yield_per_hour,yield_per_hour_auto,cargo,mining_time,unload_time,speed
Corvette,Starter Shuttle,23.268,1396.08,1396.08,100,258,120,100
MiningShip,Mining Skiff,373.6232,22417.3921,22417.3921,1050,169,95,126
MiningShip,Prospector,202.2365,12134.1901,12134.1901,505,150,99,121
Barge,Mining Barge,1029.8332,61789.9947,61789.9947,1680,98,119,101
Barge,Extractor,851.3409,51080.4526,51080.4526,880,62,121,99
Barge,Ironclad,477.1115,28626.6926,28626.6926,1100,138,146,82
Barge,Titan Drill,5298.6378,317918.2693,317918.2693,5400,61,128,94
Barge,Bastion,1041.8572,62511.431,62511.431,1534,88,156,77
Barge,Heavy Mining Barge,2421.0577,145263.4627,145263.4627,2600,64,122,98
IceMiningShip,Glacier King,289.4121,17364.7241,17364.7241,1854,384,156,77
IceMiningShip,Ice Skimmer,114.0531,6843.1847,6843.1847,404,213,108,111
IceMiningShip,Frostbreaker,203.6912,12221.4726,12221.4726,1224,361,130,92
GasMiningShip,Vapor Collector,203.6912,12221.4726,12221.4726,1224,361,130,92
GasMiningShip,Mining Leviathan,289.4121,17364.7241,17364.7241,1854,384,156,77
GasMiningShip,Nebula Runner,114.0531,6843.1847,6843.1847,404,213,108,111
Hauler,Oremaster,42.9548,2577.288,2577.288,29255,40864,112,80
